Year,County,Latitude,Longitude,Soybean,Corn,SeasonalPrep,SeasonalTmax,SeasonalTmin,SeasonalAvgTmax,SeasonalAvgTmin,WetDays,DaysA30,DaysB10,DaysB_2,GDD
1952,CRAWFORD,39.0027017,-87.75954101,1278,3094,375.8833333,41.35333333,-3.83,29.07608379,13.76506375,42,93,48,2,2927.510001
1953,CRAWFORD,39.0027017,-87.75954101,874,2556,315.0966667,41.15333333,-2.573333333,29.94799636,13.85182149,41,102,48,1,2953.098334
1954,CRAWFORD,39.0027017,-87.75954101,841,1345,394.67,44.12333333,0.89,30.15371585,15.41357013,44,94,33,0,3073.743334
1955,CRAWFORD,39.0027017,-87.75954101,1244,3228,599.5666667,37.17,3.373333333,28.77531876,14.366102,59,87,33,0,2935.611667
1956,CRAWFORD,39.0027017,-87.75954101,1614,3833,430.7966666,37.15,-1.99,27.41056466,12.65872495,49,65,62,0,2815.916667
1957,CRAWFORD,39.0027017,-87.75954101,1379,3228,581.7366667,35.82333333,-0.863333333,27.77504554,14.04291439,60,63,39,0,2911.681667
1958,CRAWFORD,39.0027017,-87.75954101,1480,3363,761.1666666,34.00666667,-1.21,26.73881603,13.3495082,70,46,48,0,2801.021667
1959,CRAWFORD,39.0027017,-87.75954101,1547,3699,570.23,36.52333333,0.51,28.44178506,15.11708561,52,87,34,0,3024.536667
1960,CRAWFORD,39.0027017,-87.75954101,1412,3363,417.8133333,37.57666667,0.506666667,28.08757741,14.49340619,55,69,35,0,2952.510001
1961,CRAWFORD,39.0027017,-87.75954101,1681,4640,649.3,35.07333333,-2.353333333,27.06116576,13.49116576,52,69,53,1,2837.828334
1962,CRAWFORD,39.0027017,-87.75954101,1816,5044,517.2133333,37.8,-3.813333333,28.40903461,14.79331512,57,74,33,1,3011.286667
1963,CRAWFORD,39.0027017,-87.75954101,1681,5178,419.0933333,36.32666667,-1.433333333,28.30462659,13.28836066,47,76,50,0,2887.821667
1964,CRAWFORD,39.0027017,-87.75954101,1446,4035,341.0833333,38.99333333,-3.68,28.4489071,14.1420765,50,81,36,2,2939.148334
1965,CRAWFORD,39.0027017,-87.75954101,1715,5447,580.9833333,36.93,1.05,27.73408015,14.3554827,59,61,35,0,2947.885
1966,CRAWFORD,39.0027017,-87.75954101,1446,4506,570.0566667,39.68333333,-1.883333333,27.37060109,13.29313297,58,72,51,0,2788.878334
1967,CRAWFORD,39.0027017,-87.75954101,1715,6456,547.4266667,34.62666667,-1.21,25.79275046,12.88765027,64,40,53,0,2691.81
1968,CRAWFORD,39.0027017,-87.75954101,1816,5447,518.9266667,36.08333333,-1.26,27.31604736,14.4301275,57,66,43,0,2897.816667
1969,CRAWFORD,39.0027017,-87.75954101,1917,5447,736.34,34.55,0.576666667,27.06692168,14.2564663,73,58,39,0,2879.158334
1970,CRAWFORD,39.0027017,-87.75954101,1816,3430,677.24,35.44,1.956666667,27.40608379,15.40431694,64,55,29,0,2999.315
1971,CRAWFORD,39.0027017,-87.75954101,1782,6120,552.0066667,35.88,0.196666667,26.72555556,14.30298725,59,49,40,0,2874.13
1972,CRAWFORD,39.0027017,-87.75954101,1950,6725,543.6933333,35.03666667,2.143333333,26.58209472,14.50358834,63,52,39,0,2853.33
1973,CRAWFORD,39.0027017,-87.75954101,1749,6860,580.02,33.96,2.19,26.97295082,15.69202186,70,51,25,0,2986.698334
1974,CRAWFORD,39.0027017,-87.75954101,1446,4640,871.0333333,34.61666667,-1.393333333,25.52198543,13.57905282,67,39,43,0,2720.548334
1975,CRAWFORD,39.0027017,-87.75954101,1883,6456,593.4133333,34.57333333,0.61,27.04014572,14.87528233,64,66,36,0,2913.433334
1976,CRAWFORD,39.0027017,-87.75954101,2085,6927,425.1266667,36.12,-0.093333333,26.56504554,13.08163934,48,49,47,0,2767.751667
1977,CRAWFORD,39.0027017,-87.75954101,2186,6591,575.77,35.72333333,-1.246666667,27.63326047,15.17162113,68,72,31,0,2987.786667
1978,CRAWFORD,39.0027017,-87.75954101,2152,7129,652.6266667,38.14,-0.756666667,26.55296903,14.00193078,66,69,47,0,2812.998334
1979,CRAWFORD,39.0027017,-87.75954101,2354,7465,655.3933333,34.17666667,-2.663333333,25.94903461,13.75972678,64,41,55,1,2795.725
1980,CRAWFORD,39.0027017,-87.75954101,2387,6389,512.0966667,37.60666667,-1.883333333,27.70817851,14.82693989,53,76,45,0,2971.596667
1981,CRAWFORD,39.0027017,-87.75954101,2186,7129,672.5566666,36.09,-0.113333333,25.93786885,14.54540984,62,35,41,0,2835.638334
1982,CRAWFORD,39.0027017,-87.75954101,2387,8003,680.87,34.73666667,0.123333333,26.25256831,14.49839709,59,31,30,0,2843.856667
1983,CRAWFORD,39.0027017,-87.75954101,1379,2825,514.9266666,38.74,-5.04,27.39657559,14.68867031,48,86,47,2,2904.031667
1984,CRAWFORD,39.0027017,-87.75954101,1782,6658,576.85,35.06,0.93,26.23788707,14.42265938,57,55,39,0,2836.11
1985,CRAWFORD,39.0027017,-87.75954101,2455,7465,520.6166667,34.67666667,0.36,26.96874317,13.75635701,67,51,48,0,2847.955001
1986,CRAWFORD,39.0027017,-87.75954101,2488,8608,630.9933333,36.57,-1.776666667,27.3915847,15.19863388,66,63,35,0,2980.2
1987,CRAWFORD,39.0027017,-87.75954101,2253,9415,438.1533333,36.42333333,-2.17,28.54897996,15.49586521,52,85,35,1,3079.891667
1988,CRAWFORD,39.0027017,-87.75954101,1681,5447,308.1566667,40.05333333,-3.51,28.91183971,12.27342441,39,84,72,1,2825.795
1989,CRAWFORD,39.0027017,-87.75954101,2387,8810,691.3466667,36.18666667,0.723333333,27.13149362,14.80801457,70,60,38,0,2935.578334
1990,CRAWFORD,39.0027017,-87.75954101,2152,7061,709.2,37.17666667,0.07,26.78881603,15.13726776,64,56,27,0,2904.243334
1991,CRAWFORD,39.0027017,-87.75954101,2320,6120,377.3866667,36.38333333,0.986666667,28.33422587,15.88531876,51,83,29,0,3087.07
1992,CRAWFORD,39.0027017,-87.75954101,2825,10424,571.8933333,34.44333333,1.76,25.33595628,13.59495446,60,21,47,0,2705.068334
1993,CRAWFORD,39.0027017,-87.75954101,2757,9348,664.4533333,34.51666667,-1.1,25.88442623,15.3108561,74,50,38,0,2865.176667
1994,CRAWFORD,39.0027017,-87.75954101,2488,8205,451.5933333,36.14333333,2.97,26.76602914,14.83153005,44,55,34,0,2879.475
1995,CRAWFORD,39.0027017,-87.75954101,2354,7398,654.7333333,35.84,-0.393333333,27.10632058,15.46005465,62,68,36,0,2955.43
1996,CRAWFORD,39.0027017,-87.75954101,2253,6523,668.1733333,35.61666667,-0.77,27.06912568,13.89007286,60,66,45,0,2849.325
1997,CRAWFORD,39.0027017,-87.75954101,2455,6860,494.5066667,37.11666667,-2.413333333,26.60092896,13.3448816,61,60,55,1,2790.29
1998,CRAWFORD,39.0027017,-87.75954101,2488,8205,820.28,35.15333333,1.566666667,27.82116576,15.26571949,72,75,35,0,3014.315
1999,CRAWFORD,39.0027017,-87.75954101,2421,7465,526.0233333,37.13,0.373333333,28.16387978,13.46061931,55,80,52,0,2893.481667
2000,CRAWFORD,39.0027017,-87.75954101,2825,9281,948.95,33.77666667,-3.166666667,27.18559199,14.23431694,68,51,42,1,2928.068334
2001,CRAWFORD,39.0027017,-87.75954101,2825,9684,698.9966667,34.65,-2.29,28.00821494,13.62692168,55,78,52,1,2910.093334
2002,CRAWFORD,39.0027017,-87.75954101,2354,6792,600.1733333,36.64666667,-1.503333333,28.866102,15.57661202,55,100,37,0,3079.233334
2003,CRAWFORD,39.0027017,-87.75954101,2690,9684,730.0866667,34.94666667,-1.246666667,27.00857923,13.83096539,62,53,44,0,2842.255
2004,CRAWFORD,39.0027017,-87.75954101,3161,11634,679.1566667,33.25333333,-0.77,27.4810929,14.55417122,61,54,35,0,2954.183334
2005,CRAWFORD,39.0027017,-87.75954101,3026,8944,468.8333333,36.20666667,-1.133333333,28.66765027,14.92296903,48,89,35,0,3021.796667
2006,CRAWFORD,39.0027017,-87.75954101,3026,9281,652.7366667,36.40666667,-2.173333333,26.97692168,14.67539162,60,66,38,1,2895.471667
2007,CRAWFORD,39.0027017,-87.75954101,2690,9415,388.57,37.68,0.836666667,29.67885246,15.67852459,55,93,23,0,3132.035001
2008,CRAWFORD,39.0027017,-87.75954101,2959,11029,845.75,35.72333333,2.16,27.58737705,14.91030965,66,64,39,0,2950.531667
2009,CRAWFORD,39.0027017,-87.75954101,2556,10088,859.0233333,35.27,1.383333333,26.41936248,14.38189435,64,38,34,0,2837.261667
2010,CRAWFORD,39.0027017,-87.75954101,3060,9630,643.0333333,37.2,0.31,29.05371585,15.43562842,64,102,34,0,3083.033334
2011,CRAWFORD,39.0027017,-87.75954101,2838,9711,774.9413,37.77777778,0.833333333,27.78131957,15.2071949,61,79,36,0,2953.055556
2012,CRAWFORD,39.0027017,-87.75954101,2031,2334,413.5797333,40.92592594,-0.925925928,29.05434123,14.61040275,47,90,38,0,2954.120371
2013,CRAWFORD,39.0027017,-87.75954101,3194,10363,850.4343334,35.74074074,-0.925925928,26.71928759,15.03491196,67,44,30,0,2915.694445
2014,CRAWFORD,39.0027017,-87.75954101,3376,12421,721.36,34.25925926,-0.925925928,26.18447683,14.39435337,70,36,37,0,2827.962963
2015,CRAWFORD,39.0027017,-87.75954101,3430,9691,516.4878333,35.27777778,0.277777778,27.27433718,15.39769277,58,55,32,0,2980.231482
2016,CRAWFORD,39.0027017,-87.75954101,3793,-99,712.4192,36.11111111,4.722222222,28.30348108,16.47692775,70,75,23,0,3120.740741
2017,CRAWFORD,39.0027017,-87.75954101,3544,11601,655.7433334,35.55555556,2.222222222,27.56830601,14.59016393,51,64,28,0,2917.5
2018,CRAWFORD,39.0027017,-87.75954101,4237,13067,931.6720001,35.55555556,-2.222222222,28.31967213,16.13843352,61,74,25,1,3123.75
2019,CRAWFORD,39.0027017,-87.75954101,3329,9839,827.7468076,35.83333333,0,27.61232544,15.4007286,62,58,26,0,3006.666667
1950,CUMBERLAND,39.27325299,-88.24003293,1244,2488,666.67,34.415,-1.34,25.69106557,13.13887978,59,27,46,0,2705.815
1951,CUMBERLAND,39.27325299,-88.24003293,1547,3295,586.25,36.755,-1.215,26.60297814,13.58702186,65,46,46,0,2812.395
1952,CUMBERLAND,39.27325299,-88.24003293,1345,2959,363.25,38.435,-4.015,28.09874317,13.77505464,38,80,51,2,2891.945
1953,CUMBERLAND,39.27325299,-88.24003293,1311,3699,382.33,39.035,-3.165,28.75579235,13.94557377,41,86,47,3,2924.3425
1954,CUMBERLAND,39.27325299,-88.24003293,773,2085,366.365,42.12,0.08,29.26461749,15.21153005,42,89,33,0,3020.125
1955,CUMBERLAND,39.27325299,-88.24003293,1513,3430,741.555,36.575,3.53,28.30953552,14.72991803,56,80,33,0,2943.76
1956,CUMBERLAND,39.27325299,-88.24003293,1883,4573,527.15,36.095,-2.46,27.54622951,13.26852459,56,66,56,2,2878.14
1957,CUMBERLAND,39.27325299,-88.24003293,1379,3026,650.235,34.465,-0.05,27.08516393,14.24535519,63,56,39,0,2889.6475
1958,CUMBERLAND,39.27325299,-88.24003293,1681,3632,712.53,33.455,-0.425,26.23385246,13.14349727,66,39,52,0,2759.2675
1959,CUMBERLAND,39.27325299,-88.24003293,1580,4102,480.66,36.535,-0.645,28.13185792,14.8302459,42,86,36,0,2989.8075
1960,CUMBERLAND,39.27325299,-88.24003293,1345,3833,428.8,36.63,0.78,27.49964481,14.76508197,54,58,28,0,2934.845
1961,CUMBERLAND,39.27325299,-88.24003293,1681,5447,566.185,35.02,-2.54,26.49614754,13.63734973,52,64,54,1,2807.21
1962,CUMBERLAND,39.27325299,-88.24003293,1749,5515,418.34,37.705,-3.25,28.01560109,15.03811475,45,68,28,1,3006.2525
1963,CUMBERLAND,39.27325299,-88.24003293,1950,6254,418.385,35.39,-0.57,27.7029235,13.69409836,46,66,40,0,2868.9975
1964,CUMBERLAND,39.27325299,-88.24003293,1345,4640,312.255,39.38,-2.73,27.97915301,14.54385246,40,75,35,1,2939.825
1965,CUMBERLAND,39.27325299,-88.24003293,1782,6523,584.89,35.865,2.285,27.13453552,14.28297814,62,43,36,0,2895.9475
1966,CUMBERLAND,39.27325299,-88.24003293,1412,4842,493.27,39.29,-1.955,26.81377049,13.57087432,56,63,47,0,2772.2275
1967,CUMBERLAND,39.27325299,-88.24003293,1849,7263,553.3,33.78,0.455,25.1807377,12.83459016,67,38,53,0,2648.13
1968,CUMBERLAND,39.27325299,-88.24003293,2152,5851,611.95,35.28,0.105,26.52442623,14.4002459,51,55,41,0,2833.125
1969,CUMBERLAND,39.27325299,-88.24003293,2320,6792,701.39,35.12,1.535,26.7526776,14.40005464,64,54,40,0,2863.955
1970,CUMBERLAND,39.27325299,-88.24003293,1950,4977,620.425,36.375,2.16,27.36584699,15.19259563,61,58,29,0,2964.32
1971,CUMBERLAND,39.27325299,-88.24003293,2118,7061,548.355,36.18,0.965,26.89669399,14.16868852,49,54,47,0,2864.3475
1972,CUMBERLAND,39.27325299,-88.24003293,2219,6927,446.95,34.905,1.365,26.58180328,14.33065574,48,58,37,0,2834.175
1973,CUMBERLAND,39.27325299,-88.24003293,2219,7196,628.18,34.25,3.16,26.65639344,15.70956284,62,47,23,0,2965.4025
1974,CUMBERLAND,39.27325299,-88.24003293,1513,4573,754.145,36.275,-1.885,25.12363388,13.57139344,65,38,45,0,2677.4525
1975,CUMBERLAND,39.27325299,-88.24003293,2152,6658,686.59,33.93,0.695,26.32830601,14.34303279,71,46,44,0,2828.77
1976,CUMBERLAND,39.27325299,-88.24003293,2152,6254,367.995,35.085,-0.56,26.11871585,12.59587432,51,45,49,0,2699.5275
1977,CUMBERLAND,39.27325299,-88.24003293,2623,6725,561.075,35.125,-1.24,26.9879235,14.99956284,62,56,33,0,2943.2775
1978,CUMBERLAND,39.27325299,-88.24003293,2287,7801,600.965,35.215,-0.52,25.65043716,13.83215847,55,50,51,0,2760.4175
1979,CUMBERLAND,39.27325299,-88.24003293,2623,8272,572.645,33.225,-3.225,25.6854918,13.19710383,45,29,54,1,2729.7075
1980,CUMBERLAND,39.27325299,-88.24003293,2455,6187,495.435,37.475,-1.965,27.34240437,14.18308743,40,67,48,0,2898.24
1981,CUMBERLAND,39.27325299,-88.24003293,2186,7263,795.335,35.61,-1.07,25.39527322,13.78680328,59,27,42,0,2733.985
1982,CUMBERLAND,39.27325299,-88.24003293,2421,8137,595.45,34.385,-1.07,26.01448087,14.15625683,65,29,31,0,2793.8875
1983,CUMBERLAND,39.27325299,-88.24003293,1547,4170,469.37,38.495,-5.79,27.13663934,14.22934426,47,79,44,3,2857.895
1984,CUMBERLAND,39.27325299,-88.24003293,1917,6927,536.04,35.585,1.125,26.09997268,14.15407104,58,55,42,0,2802.55
1985,CUMBERLAND,39.27325299,-88.24003293,2623,8205,480.39,33.81,-0.945,26.24868852,14.19120219,44,28,35,0,2833.3975
1986,CUMBERLAND,39.27325299,-88.24003293,2724,9617,574.925,34.835,-1.08,26.82770492,14.77642077,51,51,35,0,2924.8775
1987,CUMBERLAND,39.27325299,-88.24003293,2287,9482,349.12,35.31,-3.1,27.67983607,14.80693989,40,71,42,1,2990.53
1988,CUMBERLAND,39.27325299,-88.24003293,1749,6053,276.1,38.77,-2.905,28.18696721,13.97229508,28,73,49,2,2929.8875
1989,CUMBERLAND,39.27325299,-88.24003293,2455,8406,767.49,35.17,-0.215,25.70994536,13.84516393,57,34,42,0,2773.2425
1990,CUMBERLAND,39.27325299,-88.24003293,2522,8675,763.775,36.44,-0.66,25.70114754,14.32852459,56,41,40,0,2770.745
1991,CUMBERLAND,39.27325299,-88.24003293,2421,6994,420.715,36.52,0.565,27.46191257,15.54297814,41,62,34,0,3014.4375
1992,CUMBERLAND,39.27325299,-88.24003293,2825,10693,512.96,34.67,-0.465,25.19415301,13.32863388,47,19,49,0,2683.915
1993,CUMBERLAND,39.27325299,-88.24003293,2589,8675,962.565,33.94,-0.42,25.69642077,14.58057377,61,45,40,0,2813.955
1994,CUMBERLAND,39.27325299,-88.24003293,2925,10491,440.805,35.93,0.995,26.16907104,13.83229508,41,48,49,0,2766.5025
1995,CUMBERLAND,39.27325299,-88.24003293,2556,8339,725.195,36.78,0.475,26.64081967,14.72245902,61,60,41,0,2873.435
1996,CUMBERLAND,39.27325299,-88.24003293,2287,6523,683.605,34.71,0.605,26.06989071,14.28931694,55,48,39,0,2808.1525
1997,CUMBERLAND,39.27325299,-88.24003293,2589,8003,409.425,35.86,-0.69,25.7192623,14.01737705,63,41,47,0,2764.7625
1998,CUMBERLAND,39.27325299,-88.24003293,2724,9079,350.615,34.845,2.415,27.0879235,16.03885246,59,57,29,0,3020.03
1999,CUMBERLAND,39.27325299,-88.24003293,2287,6927,454.165,37.75,0.595,27.07773224,14.32338798,52,60,45,0,2872.2075
2000,CUMBERLAND,39.27325299,-88.24003293,2757,9684,933.585,33.905,-1.81,25.97136612,14.18713115,71,34,44,0,2825.465
2001,CUMBERLAND,39.27325299,-88.24003293,2825,10222,619.275,34.93,-2.255,26.75467213,14.24327869,60,54,40,1,2859.22
2002,CUMBERLAND,39.27325299,-88.24003293,2825,8608,624.055,36.285,-1.73,27.82521858,15.23666667,57,78,41,0,3000.21
2003,CUMBERLAND,39.27325299,-88.24003293,2892,10693,651.685,35.83,-2.205,26.1668306,13.59136612,63,42,45,1,2749.9625
2004,CUMBERLAND,39.27325299,-88.24003293,3363,11634,590.245,33.765,-0.73,26.56172131,13.93628415,75,33,39,0,2835.725
2005,CUMBERLAND,39.27325299,-88.24003293,3026,9146,406.325,37.48,-1.385,27.91150273,14.6347541,55,80,36,0,2953.8825
2006,CUMBERLAND,39.27325299,-88.24003293,3363,9953,514.285,36.04,-2.525,26.44546448,14.19046448,65,52,45,1,2831.365
2007,CUMBERLAND,39.27325299,-88.24003293,3094,11164,407.77,36.625,0.4,28.79374317,15.33040984,61,75,24,0,3074.5325
2008,CUMBERLAND,39.27325299,-88.24003293,2959,11433,764.655,34.14,1.655,26.47357923,14.00934426,79,44,41,0,2820.42
2009,CUMBERLAND,39.27325299,-88.24003293,2757,11029,747.145,34.4,0.29,25.43595628,14.05295082,70,27,39,0,2742.9975
2010,CUMBERLAND,39.27325299,-88.24003293,3356,9866,702.545,36.58,0.675,28.1413388,15.48352459,68,89,35,0,3048.6025
2011,CUMBERLAND,39.27325299,-88.24003293,3067,9879,744.6182753,37.77777778,0,26.50273224,14.4656952,54,57,50,0,2837.777778
2012,CUMBERLAND,39.27325299,-88.24003293,2912,2307,521.8107422,40,-1.111111111,27.80510018,14.00728597,42,73,52,0,2851.944445
2013,CUMBERLAND,39.27325299,-88.24003293,3356,11540,712.0040993,36.66666667,-1.666666667,25.95931998,14.12264724,58,43,42,0,2786.388889
2014,CUMBERLAND,39.27325299,-88.24003293,3699,13188,691.1486671,35,-2.222222222,26.16575592,14.47783849,55,38,40,1,2837.222223
2015,CUMBERLAND,39.27325299,-88.24003293,3941,11009,571.3687102,34.44444444,0,27.00060716,14.92410443,57,51,32,0,2928.611111
2016,CUMBERLAND,39.27325299,-88.24003293,3968,11997,566.6144272,35.55555556,3.333333333,27.97510625,15.84699454,53,69,26,0,3048.333334
2017,CUMBERLAND,39.27325299,-88.24003293,3638,12186,650.4584746,37.22222222,4.444444444,27.90528233,15.09107468,48,67,27,0,2966.944445
2018,CUMBERLAND,39.27325299,-88.24003293,4519,-99,743.548769,35.55555556,-2.222222222,28.17243473,16.45112325,64,81,25,1,3142.5
2019,CUMBERLAND,39.27325299,-88.24003293,3403,10868,714.711052,36.11111111,0,27.69884639,14.99696418,65,73,32,0,2971.944445
1950,DEKALB,41.89354175,-88.77027822,1580,3901,529.9779548,33.33333333,-3.888888889,23.91924712,10.68609593,40,25,70,2,2404.444445
1951,DEKALB,41.89354175,-88.77027822,1749,4237,673.2029966,32.77777778,-2.777777778,24.17425622,11.21129326,58,19,63,2,2465
1952,DEKALB,41.89354175,-88.77027822,1917,5044,543.9373693,36.11111111,-6.666666667,25.66180935,11.65452338,42,47,65,3,2623.611111
1953,DEKALB,41.89354175,-88.77027822,1816,4708,444.3089761,38.33333333,-4.444444444,26.33879781,11.44201579,47,55,72,6,2627.777778
1954,DEKALB,41.89354175,-88.77027822,1950,5044,762.3826462,36.66666667,-2.222222222,25.60412872,12.31633273,54,47,60,2,2631.944445
1955,DEKALB,41.89354175,-88.77027822,1816,4237,596.043198,38.88888889,1.111111111,27.16804493,12.65027322,50,58,66,0,2733.931667
1956,DEKALB,41.89354175,-88.77027822,2186,5313,562.508501,38.33333333,-6.666666667,25.48269581,11.18397086,53,36,64,6,2597.777778
1957,DEKALB,41.89354175,-88.77027822,2118,5111,686.5570205,35.55555556,-1.666666667,25.54341226,11.93381907,54,39,62,0,2596.666667
1958,DEKALB,41.89354175,-88.77027822,2018,4977,695.9909307,33.33333333,-3.888888889,24.571949,11.10807529,52,15,70,1,2510.833334
1959,DEKALB,41.89354175,-88.77027822,2219,5111,648.2189436,35.55555556,-3.888888889,25.88949605,13.13904068,62,51,51,3,2722.5
1960,DEKALB,41.89354175,-88.77027822,2051,4842,671.24425,35,-1.666666667,24.96357013,12.36187007,66,25,54,0,2580
1961,DEKALB,41.89354175,-88.77027822,2118,5716,618.684246,35,-5,25.23375835,11.36612022,50,42,77,3,2581.388889
1962,DEKALB,41.89354175,-88.77027822,2152,5918,385.6224946,35,-6.111111111,25.98510625,12.37801457,44,41,51,2,2656.614445
1963,DEKALB,41.89354175,-88.77027822,2051,6053,617.7481324,36.66666667,-1.666666667,25.58591378,11.71220401,44,42,61,0,2591.388889
1964,DEKALB,41.89354175,-88.77027822,2085,6120,564.1040447,35.55555556,-6.111111111,25.43108682,11.98542805,50,42,65,2,2602.222223
1965,DEKALB,41.89354175,-88.77027822,2219,6658,613.307565,35.55555556,-0.555555556,24.41712204,11.82149362,61,25,62,0,2503.888889
1966,DEKALB,41.89354175,-88.77027822,1950,6322,481.7510281,38.33333333,-3.888888889,24.86338798,11.45415908,54,38,71,2,2528.333334
1967,DEKALB,41.89354175,-88.77027822,1816,6860,502.6919323,32.77777778,-4.444444444,23.26654523,11.1627201,66,12,70,3,2405.277778
1968,DEKALB,41.89354175,-88.77027822,2556,7263,635.9219282,35,-0.555555556,24.57498482,12.36490589,64,35,64,0,2557.777778
1969,DEKALB,41.89354175,-88.77027822,2421,7330,716.0196871,32.77777778,-1.666666667,24.332119,12.34365513,62,21,62,0,2561.944445
1970,DEKALB,41.89354175,-88.77027822,2287,5582,904.2719283,36.11111111,0,26.095932,13.48816029,71,38,45,0,2753.611111
1971,DEKALB,41.89354175,-88.77027822,2219,7196,454.2015204,35,-2.222222222,24.91499696,12.06435944,69,41,61,1,2580.555556
1972,DEKALB,41.89354175,-88.77027822,2387,7599,966.5534987,34.44444444,-1.666666667,24.73891925,12.65027322,72,27,54,0,2602.5
1973,DEKALB,41.89354175,-88.77027822,2421,7061,697.5336137,34.44444444,0,25.15786278,13.68245294,74,35,46,0,2690.833334
1974,DEKALB,41.89354175,-88.77027822,1849,5380,608.4981089,35.55555556,-3.888888889,24.16514876,11.27504554,62,25,68,3,2455
1975,DEKALB,41.89354175,-88.77027822,2791,7868,534.5589994,34.44444444,-2.222222222,25.47358834,12.29811779,62,41,62,1,2645
1976,DEKALB,41.89354175,-88.77027822,2219,7734,489.4430038,35,-2.222222222,25.66484517,10.88949605,39,45,77,1,2560
1977,DEKALB,41.89354175,-88.77027822,2757,8743,685.6135374,35.55555556,-2.777777778,25.94414086,13.08439587,63,40,48,2,2723.611111
1978,DEKALB,41.89354175,-88.77027822,2488,8474,748.034971,34.44444444,-2.777777778,25.19732848,13.28476017,54,35,54,2,2704.722223
1979,DEKALB,41.89354175,-88.77027822,2757,9012,649.701272,33.33333333,-3.333333333,24.70856102,12.38312083,47,19,62,1,2609.444445
1980,DEKALB,41.89354175,-88.77027822,2724,8675,800.2825339,35.55555556,-2.777777778,25.81663631,12.5804493,61,42,60,3,2689.166667
1981,DEKALB,41.89354175,-88.77027822,3026,9213,687.8914136,35,-1.111111111,24.5865088,12.35883424,60,16,62,0,2593.554445
1982,DEKALB,41.89354175,-88.77027822,2724,9550,642.4484287,33.88888889,-2.777777778,25.02428658,12.60170006,52,15,60,1,2628.333334
1983,DEKALB,41.89354175,-88.77027822,2690,7061,726.950709,36.66666667,-5.555555556,25.75895568,13.75531269,58,60,48,2,2738.611112
1984,DEKALB,41.89354175,-88.77027822,2522,8675,512.3732897,35.55555556,-0.555555556,25.52519733,12.7140255,62,45,52,0,2662.5
1985,DEKALB,41.89354175,-88.77027822,2959,10088,516.5916242,35.55555556,0,25.85003036,12.38615665,84,27,56,0,2667.5
1986,DEKALB,41.89354175,-88.77027822,2757,9348,693.1157552,33.88888889,-5,24.27993321,12.10620522,74,21,55,2,2527.942778
1987,DEKALB,41.89354175,-88.77027822,3194,9550,890.2986998,35.55555556,-5.555555556,25.1335762,12.6867031,81,45,59,6,2646.666667
1988,DEKALB,41.89354175,-88.77027822,2522,6456,306.7342375,39.44444444,-6.111111111,26.01396478,11.34790528,33,58,73,11,2632.5
1989,DEKALB,41.89354175,-88.77027822,2925,9482,701.740241,36.66666667,-4.444444444,23.9416697,11.54258652,81,19,68,8,2500.662778
1990,DEKALB,41.89354175,-88.77027822,3094,8877,657.2687654,35.55555556,-6.111111111,23.67941712,12.46205222,53,13,61,1,2508.055556
1991,DEKALB,41.89354175,-88.77027822,3161,8003,438.4515259,37.22222222,-2.777777778,26.3677292,12.71372192,61,58,57,4,2739.158334
1992,DEKALB,41.89354175,-88.77027822,2993,9213,427.455601,33.33333333,-3.888888889,23.10564663,10.3973224,62,15,80,2,2333.855
1993,DEKALB,41.89354175,-88.77027822,2993,8205,861.5992264,33.88888889,-2.222222222,23.7431694,12.07650273,82,19,57,1,2513.611111
1994,DEKALB,41.89354175,-88.77027822,3632,11433,533.4672012,36.11111111,0,24.84213722,12.22222222,60,39,60,0,2559.166667
1995,DEKALB,41.89354175,-88.77027822,3127,8541,613.401527,38.88888889,-1.111111111,25.00607165,12.95081967,59,49,63,0,2624.166667
1996,DEKALB,41.89354175,-88.77027822,2690,9281,976.5075458,34.44444444,-1.111111111,22.73831208,11.84578021,67,17,63,0,2384.444445
1997,DEKALB,41.89354175,-88.77027822,3295,9550,516.931268,35.55555556,-2.222222222,23.53066181,11.66363084,61,24,60,1,2429.166667
1998,DEKALB,41.89354175,-88.77027822,3632,11567,693.3457785,35,0.555555556,24.7723133,13.65057681,62,29,42,0,2653.472223
1999,DEKALB,41.89354175,-88.77027822,3497,10424,791.4676256,37.22222222,0.555555556,24.21979356,12.77474196,59,30,61,0,2551.111112
2000,DEKALB,41.89354175,-88.77027822,3026,10558,753.237,33.88888889,-2.777777778,23.83272617,12.26017001,62,17,57,4,2504.722223
2001,DEKALB,41.89354175,-88.77027822,3094,9684,578.0616667,35.55555556,-2.222222222,24.35944141,12.74741955,59,35,53,3,2551.944445
2002,DEKALB,41.89354175,-88.77027822,3094,9617,639.9651505,36.11111111,-0.555555556,24.85428051,13.26958106,53,42,53,0,2661.388889
2003,DEKALB,41.89354175,-88.77027822,2354,11433,510.0531667,34.44444444,-4.166666667,23.84790528,11.62416515,54,22,68,1,2455.972222
2004,DEKALB,41.89354175,-88.77027822,3363,12105,591.566,31.38888889,-2.5,23.52610807,11.3099575,66,2,68,1,2406.111111
2005,DEKALB,41.89354175,-88.77027822,2959,9819,305.5196667,34.44444444,-3.888888889,25.39769277,12.6472374,46,44,53,2,2651.666667
2006,DEKALB,41.89354175,-88.77027822,3632,12172,561.213,34.72222222,-2.5,23.64602307,12.071949,73,18,61,3,2482.777778
